Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
HEROMOTOCO_811-900,2950.05,2595.75,3269.95,2572.25,2964.4,56217021.0,Triple Bottom Reversal,2014-11-17,2015-03-25
HEROMOTOCO_901-990,2590.05,2623.85,2793.8,2251.3,2595.75,57612733.0,Triple Bottom Reversal,2015-03-26,2015-08-04
HEROMOTOCO_991-1080,2637.0,2595.4,2734.3,2257.2,2623.85,31723943.0,Ascending Triangle,2015-08-05,2015-12-16
HEROMOTOCO_1171-1260,2960.0,3703.75,3740.0,2820.35,2904.35,34333889.0,Triple Bottom Reversal,2016-05-03,2016-09-08
HEROMOTOCO_1351-1440,3094.8,3733.35,3815.0,3044.25,3086.05,35306146.0,Triple Bottom Reversal,2017-01-19,2017-06-01
HEROMOTOCO_1531-1620,3697.0,3477.45,3882.9,3410.0,3689.55,29945185.0,Double Top,2017-10-12,2018-02-20
HEROMOTOCO_1891-1980,2593.8,2468.55,2859.15,2225.6,2574.45,72832452.0,Double Top,2019-03-27,2019-08-06
HEROMOTOCO_2071-2160,2400.0,1965.35,2531.0,1475.0,2393.2,101490040.0,Triple Bottom Reversal,2019-12-23,2020-05-05
HEROMOTOCO_2161-2250,1981.0,2904.0,3181.35,1933.25,1965.35,166774521.0,Triple Bottom Reversal,2020-05-06,2020-09-09
HEROMOTOCO_2251-2340,2920.0,3163.15,3394.9,2787.0,2904.0,134306856.0,Triple Bottom Reversal,2020-09-10,2021-01-18
HINDALCO_1-90,144.0,217.35,240.0,143.55,144.0,343656359.0,Ascending Triangle,2007-08-27,2008-01-02
HINDALCO_91-180,218.0,204.0,221.4,140.0,217.35,279979593.0,Triple Bottom Reversal,2008-01-03,2008-05-15
HINDALCO_361-450,47.9,86.7,106.5,36.75,45.95,908495472.0,Descending Triangle,2009-02-10,2009-06-26
HINDALCO_451-540,87.5,125.7,144.45,68.15,86.7,983356239.0,Triple Bottom Reversal,2009-06-29,2009-11-06
HINDALCO_721-810,157.0,215.35,239.45,157.0,158.3,642047535.0,Double Top,2010-07-29,2010-12-03
HINDALCO_811-900,215.85,210.2,252.85,189.35,215.35,769491003.0,Symmetrical Triangle,2010-12-06,2011-04-15
HINDALCO_1081-1170,115.9,114.35,164.9,110.3,116.4,928978741.0,Triple Bottom Reversal,2012-01-06,2012-05-15
HINDALCO_1171-1260,111.55,113.65,127.9,100.0,114.35,623995957.0,Ascending Triangle,2012-05-16,2012-09-20
HINDALCO_1261-1350,115.25,116.2,137.1,100.0,113.65,578845324.0,Head and Shoulders,2012-09-21,2013-01-31
HINDALCO_1351-1440,116.05,92.3,117.4,86.9,116.2,659324062.0,Symmetrical Triangle,2013-02-01,2013-06-12
HINDALCO_1441-1530,91.75,115.9,123.0,83.1,92.3,764423862.0,Triple Bottom Reversal,2013-06-13,2013-10-23
HINDALCO_1531-1620,115.1,105.6,126.85,96.7,115.9,605150854.0,Head and Shoulders,2013-10-24,2014-03-03
HINDALCO_1621-1710,105.4,173.4,184.9,105.4,105.6,924399057.0,Triple Bottom Reversal,2014-03-04,2014-07-14
HINDALCO_1711-1800,175.4,167.4,198.9,133.05,173.4,899132188.0,Descending Triangle,2014-07-15,2014-12-01
HINDALCO_1891-1980,136.0,86.15,145.1,85.8,136.1,491050180.0,Triple Bottom Reversal,2015-04-15,2015-08-19
HINDALCO_2341-2430,192.5,195.25,210.35,179.1,191.75,1150593610.0,Inverse Head and Shoulders,2017-02-06,2017-06-16
